Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
Fair Haven,"5,905",1,0,0,0,1,31,4,27,0,0,
Fair Lawn,"30,400",30,0,1,6,23,360,35,309,16,6,
Fairview,"13,571",37,0,1,18,18,229,56,163,10,0,
Fanwood,"7,078",3,0,0,1,2,87,15,66,6,0,
Far Hills,903,0,0,0,0,0,4,0,4,0,0,
Flemington,"4,285",14,0,2,4,8,120,26,90,4,0,
Florence Township,"11,458",9,0,0,7,2,94,27,65,2,0,
Florham Park,"12,605",2,0,1,0,1,90,7,72,11,0,
Fort Lee,"36,342",15,0,1,7,7,341,63,266,12,1,
Franklin,"5,068",5,0,0,0,5,101,13,86,2,0,
Franklin Lakes,"11,757",5,0,0,0,5,88,26,60,2,0,
"Franklin Township, Gloucester County","17,499",25,0,1,5,19,337,101,220,16,1,
"Franklin Township, Hunterdon County","3,254",0,0,0,0,0,36,6,30,0,1,
"Franklin Township, Somerset County","60,364",79,0,2,43,34,909,303,533,73,3,
Freehold,"11,474",41,0,2,19,20,245,30,210,5,1,
Freehold Township,"35,099",39,0,7,17,15,950,100,838,12,2,
Frenchtown,"1,450",0,0,0,0,0,20,6,13,1,0,
Galloway Township,"37,051",70,0,6,22,42,653,153,460,40,7,
Garfield,"28,882",53,1,1,19,32,396,106,241,49,1,
Garwood,"4,438",3,0,0,1,2,32,7,25,0,0,
Gibbsboro,"2,434",8,0,0,1,7,52,19,29,4,0,
Glassboro,"19,829",67,0,4,24,39,436,133,283,20,5,
Glen Ridge,"6,599",5,0,1,3,1,153,54,93,6,0,
Glen Rock,"11,086",1,0,0,0,1,76,14,62,0,1,
Gloucester City,"11,508",32,0,2,13,17,313,55,223,35,3,
Gloucester Township,"64,909",268,1,4,89,174,"1,487",400,"1,007",80,13,
Green Brook Township,"7,034",4,0,1,1,2,155,29,112,14,0,
"Greenwich Township, Gloucester County","4,997",6,0,0,2,4,150,38,104,8,0,
"Greenwich Township, Warren County","5,195",4,0,0,4,0,98,7,90,1,0,
Guttenberg,"10,493",39,0,0,13,26,103,26,67,10,0,
Hackensack,"42,801",142,1,1,39,101,"1,105",104,908,93,4,
Hackettstown,"9,565",11,0,0,0,11,150,27,122,1,0,
Haddonfield,"11,420",6,0,0,3,3,172,21,147,4,1,
Haddon Heights,"7,596",3,0,0,0,3,113,19,88,6,0,
Haddon Township,"14,293",22,0,1,15,6,328,62,259,7,1,
Haledon,"8,546",10,0,1,7,2,181,47,103,31,1,
Hamburg,"3,504",1,0,0,0,1,42,8,32,2,0,
"Hamilton Township, Atlantic County","24,863",71,3,2,13,53,"1,214",173,"1,001",40,7,
"Hamilton Township, Mercer County","90,491",205,0,10,107,88,"1,693",320,"1,275",98,6,
Hammonton,"13,517",27,0,0,5,22,168,54,104,10,0,
Hanover Township,"13,736",14,0,0,7,7,160,18,131,11,1,
Harding Township,"3,332",2,0,0,0,2,19,2,17,0,4,
Hardyston Township,"8,559",8,0,3,0,5,93,35,54,4,1,
